Timestamp,Would you identify as,Do you self identify as a racial or ethnic minority?,What's your highest level of formal education? (We'll ask about other types of education later),Which best describes your current role?,Are you interested in a career in Data Science?,How have you prepared for a career in Data Science?,"If you have a college degree, what field is it in?",How many years of work experience do you have (in Data Science or a related field)?,What industry do you work in?,How did you prepare for a career in Data Science?,"If you received a college degree, what field was it in?",Where do you work?,How big was the first company you worked at (as a Data Scientist)?,What tools do you use on a daily basis?,"On average, how much time do you spend building models?",Which modeling techniques do you use frequently?,"If you could go back in time and focus more time on a particular skill set, what would it be?"
2019/05/29 3:00:41 PM AST,,,Doctorate,Educator,Yes,Free online courses;Self-study;Blogs/Videos;In person events (conferences/meetups/clubs),"Science/Math (Chemistry, biology, physics, etc...)",,,,,,,,,,
2019/05/29 3:05:14 PM AST,,,Masters,Data Scientist,,,,5-8 years,Retail/E-commerce,"Free online courses;Paid online courses;Self-study;Data Science competitions (Kaggle, etc...)",Business,Philadelphia,,Python;SQL;Hadoop;Spark;Excel,10-20 hours per week,Linear/Logistic models;Tree-based models;Neural Nets/Deep learning,Coding
2019/05/29 3:06:02 PM AST,,,Masters,Machine Learning Engineer,Yes,"Free online courses;Paid online courses;In-person college degree;Self-study;Blogs/Videos;Data Science competitions (Kaggle, etc...)",Computer Science,,,,,,,,,,
2019/05/29 3:15:11 PM AST,,,Masters,Data Scientist,,,,5-8 years,Software,In-person college degree;Self-study,Master's of Science in Information. Bachelor's in something unrelated.,remote,,Python;SQL,1-10 hours per week,Linear/Logistic models;Bayesian/Probabilistic models;Tree-based models,"Mathematics (e.g. Statistics, Linear Algebra, etc...)"
2019/05/29 3:18:43 PM AST,,,Masters,Data Scientist,,,,5-8 years,Energy Analytics,In-person college degree;Self-study,"Science/Math (Chemistry, biology, physics, etc...)",Philadelphia suburbs (within 20 miles of center city),,Python,1-10 hours per week,Tree-based models,Coding;Software Engineering
2019/05/29 3:23:35 PM AST,,,Doctorate,Data Scientist,,,,9-12 years,Software,Self-study,"Science/Math (Chemistry, biology, physics, etc...)",Philadelphia suburbs (within 20 miles of center city),,"SQL;C++, Gnuplot",<1 hour per week,Linear/Logistic models,Communication Skills
2019/05/29 3:33:51 PM AST,,,Bachelors,Data Scientist,,,,< 5 years,Software,In-person college degree;Internship,,Philadelphia,,Python;SQL;Spark,1-10 hours per week,Linear/Logistic models;Neural Nets/Deep learning,"Visualization;Mathematics (e.g. Statistics, Linear Algebra, etc...)"
2019/05/29 3:47:17 PM AST,,,Masters,Data Scientist,,,,< 5 years,Consulting,In-person college degree,Business Analytics,Philadelphia,,R,1-10 hours per week,Linear/Logistic models;Neural Nets/Deep learning,"Visualization;Mathematics (e.g. Statistics, Linear Algebra, etc...)"
2019/05/29 3:48:12 PM AST,,,Bachelors,Consultant,Yes,Bootcamp,Business,,,,,,,,,,
2019/05/29 3:51:21 PM AST,,,Masters,Analyst,Yes,"Free online courses;In-person college degree;Self-study;Blogs/Videos;Data Science competitions (Kaggle, etc...);In person events (conferences/meetups/clubs)","Science/Math (Chemistry, biology, physics, etc...)",,,,,,,,,,
